Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.4472177600634517; Solution So Far: Solution: [0.5566965146243682, 0.08462134963395518, -0.13989374848797476, -0.7284696324055945, 0.016880631017157977, -0.5896747414113862, -0.008168209299098339, 0.5718459609370395];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 4.112611959664809; Solution So Far: Solution: [0.4038485249081437, 0.7635970283038827, 0.30827749787893327, -0.5854545063919989, 0.5999985665202731, 0.7080941349600307, -0.4632671313707539, 0.30510967514460496];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 3.6510954988761006; Solution So Far: Solution: [0.4153638226273323, 0.49982698763620925, -0.7763468858256998, -0.18715422778920682, -0.053241747474520096, 0.7712409354005333, 0.427388791102561, 0.5032222243999096];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 2.118435274494747; Solution So Far: Solution: [0.6130971426416134, 0.45519421040668406, -0.2853340667268719, -0.7377053627295637, 0.7102324609491435, -0.4323481835136076, 0.500609809179307, 0.7390364790674869];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.37983835688382306; Solution So Far: Solution: [0.13958396337402812, 0.2724543494141378, -0.12634572800596372, -0.2594761601371469, 0.7778006565564628, 0.029744381672037135, 0.7402318379814008, 0.33617724540937904];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.23562872973830998; Solution So Far: Solution: [-0.054851557328211786, 0.4156058818914564, 0.010250002434903982, -0.7795990833763269, 0.1988793546099058, 0.4361755442548966, 0.6910336786461391, -0.4477041283387734];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.3139040002598349; Solution So Far: Solution: [0.03679764693017362, 0.7732797658526157, -0.011614904400469028, 0.30650682551384806, 0.7699159536394272, 0.44826656539775545, -0.07776340505526813, -0.1414089776254186];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 3.0143898092932093; Solution So Far: Solution: [0.7794677604167746, 0.7257134543287105, 0.4316000949625637, -0.5960760426354648, -0.19433727599573547, 0.7814243981133367, 0.44073616096633833, 0.28065087403713757];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.14284707879212993; Solution So Far: Solution: [-0.7816406513828735, 0.4701994919216518, 0.4121692549974046, 0.6508934544104141, 0.5531438497158899, 0.7362229951968212, 0.7547280557875887, 0.16346799599505485];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.14284707879212993; Solution So Far: Solution: [-0.7816406513828735, 0.4701994919216518, 0.4121692549974046, 0.6508934544104141, 0.5531438497158899, 0.7362229951968212, 0.7547280557875887, 0.16346799599505485];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.4116455166933313; Solution So Far: Solution: [-0.2791739767327361, 0.7583153033883853, 0.3904562852016027, -0.5046458503873912, 0.19865052405781958, -0.2595375016435526, 0.3780414504450995, -0.6027648141058349];

Generation: 0; Duration: 7; MaxIterations: 20; Population: 12; Fitness: 0.13670762730322875; Solution So Far: Solution: [-0.40684617814400903, -0.07856164537628074, -0.18359223282257958, -0.6414072927541288, 0.2585407960430278, -0.0358335457003921, 0.4039570861922056, 0.5042306076497755];

Generation: 1; Duration: 7; MaxIterations: 20; Population: 12; Fitness: -0.4116455166933313; Solution So Far: Solution: [-0.2791739767327361, 0.7583153033883853, 0.3904562852016027, -0.5046458503873912, 0.19865052405781958, -0.2595375016435526, 0.3780414504450995, -0.6027648141058349];

